"","Identifiant.x","Lieu","Numéro.voie","Nom.voie","lon","lat","num_voie","Nom_df","Identifiant.y","Type.Objet","Modèle","Voie","Commune","Disponibilité","identifiant","type","payant","adresse.x","arrondissement","horaires_periode","horaires_lundi","horaires_mardi","horaires_mercredi","horaires_jeudi","horaires_vendredi","horaires_samedi","horaires_dimanche","adresse.y","nom_gerant","type_espace_vert","type_jardin_partage","domaine","proprietaire_terrain","statut_plu","amenagements","mail_1","internet_1","Icons","Couleur"
"909",1878,"LUSH",16,"RUE AGRIPPA D AUBIGNEE",2.36276,48.850193,"16","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"910",1886,"MUSEE BOURDELLE",18,"RUE ANTOINE BOURDELLE",2.318588,48.842975,"18","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"911",1895,"FITNESS PARK PARIS PORTE DE LA CHAPELLE",69,"TER RUE DE LA CHAPELLE",2.358778,48.896505,"69","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"912",1900,"BLESS",14,"RUE PORTEFOIN",2.35958,48.863876,"14","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"913",1936,"BIBLIOTHEQUE L HEURE JOYEUSE",6,"RUE DES PRETRES SAINT-SEVERIN",2.3450279,48.8519676,"6","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"914",1937,"BIBLIOTHEQUE ANDRE MALRAUX",112,"RUE DE RENNES",2.3275429,48.8478671,"112","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"915",1973,"METRO CRIMEE",104,"AVENUE DE FLANDRE",2.377684,48.8912249,"104","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"916",1816,"HOTEL ADAGIO PARIS BERCY VILLAGE",0,"COUR DU MINERVOIS",2.386857,48.831953,"0","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"917",1909,"HOTEL LITTERAIRE MARCEL AYME",16,"RUE THOLOZE",2.3356152,48.8864902,"16","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"918",1922,"LE BAL CAFE PAR LE RECHO",6,"IMPASSE DE LA DEFENSE",2.327355,48.8852618,"6","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"919",978,"POKE BAR BEAUGRENELLE",42,"RUE DES ENTREPRENEURS",2.286542,48.846142,"42","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"920",985,"BEST FRANCE TRADING",37,"RUE ROUELLE",2.28893,48.849831,"37","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"921",989,"COMPOSE TERNES",75,"AVENUE DES TERNES",2.289768,48.879494,"75","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"922",1010,"LES ENFANTS GATES",7,"RUE CARDINET",2.301735,48.881518,"7","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"923",1019,"BISTRO POPU",12,"RUE DU CHAMP DE MARS",2.305605,48.856458,"12","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"924",1028,"LES BONNES SAVEURS",44,"RUE CLER",2.30658,48.856242,"44","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"925",1036,"COTE ORIENT",45,"RUE DE BERRI",2.307597,48.874404,"45","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"926",1042,"PAON CAFE",58,"RUE SAINT-DOMINIQUE",2.3091,48.859907,"58","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"927",1046,"CENTRE PARIS ANIM  MADO ROBIN",84,"RUE MSTISLAV ROSTROPOVITCH",2.310292,48.891928,"84","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"928",1101,"GARCON !",83,"RUE DU CHERCHE-MIDI",2.323026,48.847605,"83","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
