Identifiant;Nom du commerce;Numéro voie;Nom voie;Code postal;Nom commune;Longitude;Latitude;geo_shape;geo_point_2d
1057;LE DUROC;88;RUE DE SEVRES;0;;2.317179;48.847132;"{""coordinates"": [2.3171789999188555, 48.84713199935557], ""type"": ""Point""}";48.84713199935557, 2.3171789999188555
1071;QUATREHOMME;62;RUE DE SEVRES;0;;2.319611;48.848042;"{""coordinates"": [2.3196110000069594, 48.84804199947933], ""type"": ""Point""}";48.84804199947933, 2.3196110000069594
1083;LA MARQUISE;111;RUE DE VAUGIRARD;0;;2.320783;48.845215;"{""coordinates"": [2.32078300044213, 48.84521499865269], ""type"": ""Point""}";48.84521499865269, 2.32078300044213
937;BIOCOOP LES POUSSES DE MENILMONTANT;20;RUE DE MENILMONTANT;0;;2.385024;48.867457;"{""coordinates"": [2.3850239993910853, 48.86745699875158], ""type"": ""Point""}";48.86745699875158, 2.3850239993910853
958;LA GRENOUILLE BLEUE;48;RUE BALARD;0;;2.277631;48.84159;"{""coordinates"": [2.2776310005420437, 48.84158999890018], ""type"": ""Point""}";48.84158999890018, 2.2776310005420437
959;LES ONDES;2;AVENUE DE VERSAILLES;0;;2.277942;48.851203;"{""coordinates"": [2.277941999845164, 48.85120299886151], ""type"": ""Point""}";48.85120299886151, 2.277941999845164
1347;LOUFOQUE;57;RUE GALANDE;0;;2.346909;48.851637;"{""coordinates"": [2.346909000237767, 48.851636999360274], ""type"": ""Point""}";48.851636999360274, 2.346909000237767
1348;LE CAFE CACAHUETE;1;RUE PIERRE SEMARD;0;;2.346922;48.877582;"{""coordinates"": [2.3469219998912005, 48.87758199909209], ""type"": ""Point""}";48.87758199909209, 2.3469219998912005
1436;BAGEL CORNER;66;AVENUE DES GOBELINS;0;;2.35418;48.83299;"{""coordinates"": [2.3541799995423296, 48.832989999413954], ""type"": ""Point""}";48.832989999413954, 2.3541799995423296
1409;MESSIEURS KIM;42;RUE DU CARDINAL LEMOINE;0;;2.351844;48.846895;"{""coordinates"": [2.3518440001042067, 48.84689499879922], ""type"": ""Point""}";48.84689499879922, 2.3518440001042067
1424;EXKI;38;RUE RAMBUTEAU;0;;2.353118;48.861394;"{""coordinates"": [2.3531179993540126, 48.86139399919104], ""type"": ""Point""}";48.86139399919104, 2.3531179993540126
1124;LE CHIEN ANDALOU;19;RUE LITTRE;0;;2.324319;48.844933;"{""coordinates"": [2.3243189993785935, 48.84493299861372], ""type"": ""Point""}";48.84493299861372, 2.3243189993785935
1141;KAI BOWL;11;RUE TRONCHET;0;;2.325415;48.871641;"{""coordinates"": [2.325415000540475, 48.87164099889293], ""type"": ""Point""}";48.87164099889293, 2.325415000540475
1235;GUENMAI;6;RUE CARDINALE;0;;2.33597;48.854123;"{""coordinates"": [2.3359700003978645, 48.85412299863773], ""type"": ""Point""}";48.85412299863773, 2.3359700003978645
1249;YUMIKO9;29;RUE CLAUZEL;0;;2.337204;48.879299;"{""coordinates"": [2.3372039995432545, 48.87929899894056], ""type"": ""Point""}";48.87929899894056, 2.3372039995432545
1289;LA VIE EN FRUITS;116;BOULEVARD SAINT-GERMAIN;0;;2.340976;48.852081;"{""coordinates"": [2.3409760003897877, 48.85208099885351], ""type"": ""Point""}";48.85208099885351, 2.3409760003897877
1291;LIBERTE;40;RUE SAINT-ANDRE DES ARTS;0;;2.34135;48.853427;"{""coordinates"": [2.3413500001679464, 48.853426999022325], ""type"": ""Point""}";48.853426999022325, 2.3413500001679464
1314;LE BREBANT;32;BOULEVARD POISSONNIERE;0;;2.343552;48.871604;"{""coordinates"": [2.343551999811667, 48.87160399906647], ""type"": ""Point""}";48.87160399906647, 2.343551999811667
1319;FRANPRIX AMIRAL MOUCHEZ;94;RUE DE L AMIRAL MOUCHEZ;0;;2.34385;48.820072;"{""coordinates"": [2.343849999444546, 48.8200719987264], ""type"": ""Point""}";48.8200719987264, 2.343849999444546
1327;CHEZ SUZETTE;12;RUE DE LA HARPE;0;;2.344546;48.852767;"{""coordinates"": [2.344546000655411, 48.85276699863337], ""type"": ""Point""}";48.85276699863337, 2.344546000655411
1331;PEPINS ET TROGNONS;111;BOULEVARD AUGUSTE BLANQUI;0;;2.344964;48.830388;"{""coordinates"": [2.3449639999384733, 48.83038799909521], ""type"": ""Point""}";48.83038799909521, 2.3449639999384733
1759;BENOIT CASTEL;150;RUE DE MENILMONTANT;0;;2.3978;48.870261;"{""coordinates"": [2.3978000005599505, 48.8702609990188], ""type"": ""Point""}";48.8702609990188, 2.3978000005599505
1767;LE TERMINUS;1;COURS DE VINCENNES;0;;2.399542;48.848452;"{""coordinates"": [2.399542000055948, 48.84845199887871], ""type"": ""Point""}";48.84845199887871, 2.399542000055948
1772;CASTORAMA;9;COURS DE VINCENNES;0;;2.400025;48.848409;"{""coordinates"": [2.400024999968012, 48.84840899921973], ""type"": ""Point""}";48.84840899921973, 2.400024999968012
1781;LA MARGHERITA;59;AVENUE DU GENERAL MICHEL BIZOT;0;;2.401909;48.835623;"{""coordinates"": [2.4019089993408165, 48.83562299916928], ""type"": ""Point""}";48.83562299916928, 2.4019089993408165
1790;BIOCOOP GAMBETTA;98;AVENUE GAMBETTA;0;;2.403771;48.870808;"{""coordinates"": [2.403771000476398, 48.87080799873852], ""type"": ""Point""}";48.87080799873852, 2.403771000476398
1800;MAA KRUPA;77;RUE DES PYRENEES;0;;2.405695;48.853581;"{""coordinates"": [2.405694999809758, 48.85358099913948], ""type"": ""Point""}";48.85358099913948, 2.405694999809758
1545;LEVANTINE;36;RUE BICHAT;0;;2.368148;48.871529;"{""coordinates"": [2.3681479995711614, 48.87152899930282], ""type"": ""Point""}";48.87152899930282, 2.3681479995711614
1577;LE VERRE VOLE;38;RUE OBERKAMPF;0;;2.37176;48.864398;"{""coordinates"": [2.37175999984877, 48.864397999353045], ""type"": ""Point""}";48.864397999353045, 2.37175999984877
1612;THE NAKED SHOP;75;RUE OBERKAMPF;0;;2.374028;48.865004;"{""coordinates"": [2.3740280001330274, 48.86500399887896], ""type"": ""Point""}";48.86500399887896, 2.3740280001330274
1618;OPTIQUE SAINT AMBROISE;7;RUE DE LA FOLIE-MERICOURT;0;;2.374299;48.861738;"{""coordinates"": [2.3742989994353416, 48.8617379988821], ""type"": ""Point""}";48.8617379988821, 2.3742989994353416
1632;LES SAISONNIERS;65;RUE JEAN-PIERRE TIMBAUD;0;;2.375572;48.867271;"{""coordinates"": [2.375571999439372, 48.86727099932843], ""type"": ""Point""}";48.86727099932843, 2.375571999439372
1634;LE PETIT LOCAL;51;RUE DU CHEMIN VERT;0;;2.375585;48.859413;"{""coordinates"": [2.3755850006648385, 48.85941299889323], ""type"": ""Point""}";48.85941299889323, 2.3755850006648385
1698;VIVONS L INSTANT;1;RUE DE DIJON;0;;2.385489;48.835495;"{""coordinates"": [2.3854889996625186, 48.83549499902535], ""type"": ""Point""}";48.83549499902535, 2.3854889996625186
1716;FENETRE SUR COUR;10;RUE GABRIEL LAME;0;;2.387742;48.833873;"{""coordinates"": [2.387741999757058, 48.83387299899365], ""type"": ""Point""}";48.83387299899365, 2.387741999757058
1736;LA VIE CLAIRE;305;RUE DES PYRENEES;0;;2.393665;48.870459;"{""coordinates"": [2.3936649996858335, 48.870458998967784], ""type"": ""Point""}";48.870458998967784, 2.3936649996858335
1747;LATHANOR;63;RUE PLANCHAT;0;;2.396048;48.856412;"{""coordinates"": [2.3960480002588183, 48.85641199916626], ""type"": ""Point""}";48.85641199916626, 2.3960480002588183
1951;METRO HAVRE-CAUMARTIN;64;BOULEVARD HAUSSMANN;0;;2.3283697;48.8736102;"{""coordinates"": [2.32836970061101, 48.87361019927768], ""type"": ""Point""}";48.87361019927768, 2.32836970061101
1974;METRO POISSONNIERE;96;RUE LA FAYETTE;0;;2.3493332;48.8773031;"{""coordinates"": [2.3493332006001086, 48.87730309877006], ""type"": ""Point""}";48.87730309877006, 2.3493332006001086
1812;APOGE AUSTERLITZ;61;AVENUE PIERRE MENDES-FRANCE;0;;2.36856;48.840166;"{""coordinates"": [2.3685600000271516, 48.840165998732786], ""type"": ""Point""}";48.840165998732786, 2.3685600000271516
