identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
MU39;;Cité des sciences et de l'industrie;Musée;Oui;30 Avenue Corentin Cariou;75019;;;;;;;;;;"{""coordinates"": [2.3880321976837413, 48.8956748270131], ""type"": ""Point""}";48.8956748270131, 2.3880321976837413;Non
MU40;;Fondation Louis Vuitton;Musée;Oui;8 Avenue du Mahatma Gandhi;75016;;;;;;;;;;"{""coordinates"": [2.2634010625480063, 48.876650432205984], ""type"": ""Point""}";48.876650432205984, 2.2634010625480063;Non
LC76;19456;Eglise Saint-Merry;Lieux de culte;Non;78  RUE SAINT-MARTIN;75004;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3508407140426892, 48.85906716161686], ""type"": ""Point""}";48.85906716161686, 2.3508407140426892;Non
MU11;;Musée du Quai Branly;Musée;Oui;37 Quai Branly;75007;;;;;;;;;;"{""coordinates"": [2.2975735571867384, 48.86079702300253], ""type"": ""Point""}";48.86079702300253, 2.2975735571867384;Non
LC11;3748;Eglise Saint-Roch;Lieux de culte;Non;296  RUE SAINT-HONORE;75001;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3326519921648416, 48.865365336361386], ""type"": ""Point""}";48.865365336361386, 2.3326519921648416;Non
LC14;;Eglise Orthodoxe Grecque;Lieux de culte;Non;7  RUE GEORGES BIZET;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2984464977384307, 48.866581363716136], ""type"": ""Point""}";48.866581363716136, 2.2984464977384307;Non
LC18;19469;Eglise Saint-Martin-des-Marais;Lieux de culte;Non;36  RUE ALBERT THOMAS;75010;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3629448501334425, 48.87004292852393], ""type"": ""Point""}";48.87004292852393, 2.3629448501334425;Non
LC111;19448;Eglise Saint-Joseph;Lieux de culte;Non;4  RUE DARBOY;75011;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3733740138768136, 48.868962423686646], ""type"": ""Point""}";48.868962423686646, 2.3733740138768136;Non
OMP50;;KIOSQUE A MUSIQUE SQUARE VIOLET;Ombrière pérenne;Non;4BIS PLACE VIOLET;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2894142957324504, 48.844036648805776], ""type"": ""Point""}";48.844036648805776, 2.2894142957324504;Non
OMP77;;PERGOLA PROMENADE PEREIRE - TERNES / MAILLOT;Ombrière pérenne;Non;87B AVENUE DES TERNES;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2868601240784727, 48.87936094824785], ""type"": ""Point""}";48.87936094824785, 2.2868601240784727;Non
BR62;;Brumisateur Square du Serment de Koufra;Brumisateur;Non;Square du Serment de Koufra;75014;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3234324119938763, 48.821645691776496], ""type"": ""Point""}";48.821645691776496, 2.3234324119938763;Non
OMP90;;HALLE PARC CHAPELLE CHARBON;Ombrière pérenne;Non;7 ND CD/18;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3636528230090588, 48.896804477741064], ""type"": ""Point""}";48.896804477741064, 2.3636528230090588;Non
BR88;<Nul>;Brumisateur Square Léon Serpollet;Brumisateur;Non;25 rue des Cloys;75018;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3386499099682414, 48.8921546140084], ""type"": ""Point""}";48.8921546140084, 2.3386499099682414;Non
OMP95;;ABRI PARC DES BUTTES CHAUMONT;Ombrière pérenne;Non;7 RUE BOTZARIS;75019;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3848233765553646, 48.88025749869375], ""type"": ""Point""}";48.88025749869375, 2.3848233765553646;Non
BE8;;Baignade estival Canal St-Martin;Baignade extérieure;Non;126 QUAI DE JEMMAPES;75010;;Du 09 juillet au 20 août 2023;-;-;-;-;-;-;12h - 16h;"{""coordinates"": [2.3637246382473145, 48.874968057780976], ""type"": ""Point""}";48.874968057780976, 2.3637246382473145;Non
BD7;18320;Bain-douche des Haies;Bains-douches;Non;27, rue des Haies;75020;;du 01/01/20 au 01/01/32;-;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.400959746609886, 48.85311186835467], ""type"": ""Point""}";48.85311186835467, 2.400959746609886;Non
OM12;;Ombrière Rosa Parks 1;Ombrière temporaire;Non;Parvis Rosa Parks;75019;;Accès libre;;;;;;;;"{""coordinates"": [2.3744866507055966, 48.89743709023401], ""type"": ""Point""}";48.89743709023401, 2.3744866507055966;Non
MU43;1522;Palais  Galliera - musée de la Mode de la Ville de Paris;Musée;;10 avenue Pierre 1er de Serbie;75016;;du 01/01/20 au 01/01/32;-;10h00 - 18h00;10h00 - 18h00;10h00 - 21h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.2966632309190644, 48.865697326737894], ""type"": ""Point""}";48.865697326737894, 2.2966632309190644;Non
PI6;2940;Piscine Bernard Lafay;Piscine;Oui;79, rue de la Jonquière;75017;;du 09/09/24 au 15/09/24;11h30 - 16h30;07h00 - 13h30;07h00 - 18h00;07h00 - 13h30;07h00 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.3186861292422645, 48.89447390611625], ""type"": ""Point""}";48.89447390611625, 2.3186861292422645;Non
PI40;2919;Piscine Saint-Germain;Piscine;Oui;12, rue Lobineau;75006;;du 08/07/24 au 15/09/24;-;-;-;-;-;-;-;"{""coordinates"": [2.3358522239760338, 48.85182487262116], ""type"": ""Point""}";48.85182487262116, 2.3358522239760338;Non
LC123;;Cathedrale Orthodoxe Saint-AlexAndré Nevsky;Lieux de culte;Non;12  RUE DARU;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3019522291220484, 48.87764090311903], ""type"": ""Point""}";48.87764090311903, 2.3019522291220484;Non
OMP30;;PERGOLA COULEE VERTE RENE DUMONT - PROMENADE DU VIADUC DES ARTS;Ombrière pérenne;Non;113 AVENUE DAUMESNIL;75012;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.378106458637438, 48.84620511434822], ""type"": ""Point""}";48.84620511434822, 2.378106458637438;Non
LC85;19438;Eglise Saint-Médard;Lieux de culte;Non;141  RUE MOUFFETARD;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3504901447443167, 48.83991218325795], ""type"": ""Point""}";48.83991218325795, 2.3504901447443167;Non
MA8;(3856);MAIRIE DU  8E;Mairie d'arrondissement;Non;3 RUE DE LISBONNE;75008;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.317508148712136, 48.87778228288354], ""type"": ""Point""}";48.87778228288354, 2.317508148712136;Non
MU79;;Musée Maillol;Musée;Oui;59 RUE DE GRENELLE;75007;;;10h30 - 18h30;10h30 - 18h30;10h30 - 22h;10h30 - 18h30;10h30 - 18h30;10h30 - 18h30;10h30 - 18h30;"{""coordinates"": [2.324953872516217, 48.85473672307734], ""type"": ""Point""}";48.85473672307734, 2.324953872516217;Non
BR35;<Nul>;Brumisateur Square Elisa Borey;Brumisateur;Non;5 rue Elisa Borey;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3906373301125994, 48.866388962277924], ""type"": ""Point""}";48.866388962277924, 2.3906373301125994;Non
MU22;;Galerie Nationale du Jeu de Paume;Musée;Oui;1 place de la Concorde;75001;;;;;;;;;;"{""coordinates"": [2.3240833244016224, 48.865816488982915], ""type"": ""Point""}";48.865816488982915, 2.3240833244016224;Non
MU26;;Musée de la Contrefaçon;Musée;Oui;16 Rue de la Faisanderie;75016;;;;;;;;;;"{""coordinates"": [2.2766085599090577, 48.870314893837104], ""type"": ""Point""}";48.870314893837104, 2.2766085599090577;Non
LC25;3737;Eglise Notre-Dame de Lorette;Lieux de culte;Non;2  RUE BOURDALOUE;75009;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.338924674508137, 48.87641401805276], ""type"": ""Point""}";48.87641401805276, 2.338924674508137;Non
TB3;;Terrain de boules Jules Ferry;Terrain de boules;Non;35   BOULEVARD RICHARD LENOIR;75011;;;;;;;;;;"{""coordinates"": [2.36898191798346, 48.866623390621214], ""type"": ""Point""}";48.866623390621214, 2.36898191798346;Non
BR51;;Brumisateur Jardin Hérold;Brumisateur;Non;11 Rue Francis-Ponge;75019;;Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.3949011162113027, 48.88241088786248], ""type"": ""Point""}";48.88241088786248, 2.3949011162113027;Non
LC60;19486;Eglise Saint-Ephrem-le-Syriaque;Lieux de culte;Non;17 Rue des Carmes;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.347718573655803, 48.848357445215], ""type"": ""Point""}";48.848357445215, 2.347718573655803;Non
TB2;3133;Terrain de boules Télégraphe;Terrain de boules;Non;46  rue du telegraphe;75020;Ouvert;;;;;;;10:00 - 20:00;;"{""coordinates"": [2.3994428395494802, 48.87501612526049], ""type"": ""Point""}";48.87501612526049, 2.3994428395494802;Non
BR55;;Brumisateur Square du Temple;Brumisateur;Non;50 RUE DE BRETAGNE;75003;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.360314344810248, 48.86473513936974], ""type"": ""Point""}";48.86473513936974, 2.360314344810248;Non
OMP46;;PERGOLA JARDIN LIONEL ASSOUAD;Ombrière pérenne;Non;18 RUE DE CHATILLON;75014;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3228741328919758, 48.827935635534104], ""type"": ""Point""}";48.827935635534104, 2.3228741328919758;Non
TB12;;Terrain de boules Flandre;Terrain de boules;Non;20 avenue de Flandre;75019;;;;;;;;;;"{""coordinates"": [2.370259150260294, 48.88535033771106], ""type"": ""Point""}";48.88535033771106, 2.370259150260294;Non
LC107;19476;Eglise Sainte-Elisabeth;Lieux de culte;Non;195  RUE TEMPLE;75003;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3604915317028907, 48.86608329977763], ""type"": ""Point""}";48.86608329977763, 2.3604915317028907;Non
LC134;19461;Eglise Sainte-Marie des Batignolles;Lieux de culte;Non;77  PL DOCTEUR FELIX LOBLIGEOIS;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3178950103254907, 48.886770158431304], ""type"": ""Point""}";48.886770158431304, 2.3178950103254907;Non
LC67;19506;Eglise Sainte-Marguerite;Lieux de culte;Non;36  RUE SAINT-BERNARD;75011;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3814314715548166, 48.85310033714811], ""type"": ""Point""}";48.85310033714811, 2.3814314715548166;Non
MA10;(3860);MAIRIE DU 10E;Mairie d'arrondissement;Non;72 RUE DU FAUBOURG SAINT-MARTIN;75010;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.357396052063137, 48.87177963751929], ""type"": ""Point""}";48.87177963751929, 2.357396052063137;Non
OMP59;;PERGOLA SQUARE ALLERAY - SAINT-AMAND;Ombrière pérenne;Non;90 RUE D ALLERAY;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3084062972275596, 48.83580450535686], ""type"": ""Point""}";48.83580450535686, 2.3084062972275596;Non
OMP60;;KIOSQUE A MUSIQUE PARC GEORGES BRASSENS;Ombrière pérenne;Non;2 PLACE JACQUES MARETTE;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2998706817924575, 48.83176417217179], ""type"": ""Point""}";48.83176417217179, 2.2998706817924575;Non
OMP76;;KIOSQUE A MUSIQUE PROMENADE PEREIRE - TERNES / MAILLOT;Ombrière pérenne;Non;87B AVENUE DES TERNES;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.287298206317092, 48.87961673626653], ""type"": ""Point""}";48.87961673626653, 2.287298206317092;Non
OMP86;;PERGOLA PARC MARCEL BLEUNSTEIN-BLANCHET DIT PARC DE LA TURLURE;Ombrière pérenne;Non;1 RUE DE LA BONNE;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.34380190231855, 48.88779311185867], ""type"": ""Point""}";48.88779311185867, 2.34380190231855;Non
BD14;18324;Bain-douche Rome;Bains-douches;Non;43, rue de Rome;75008;;du 01/01/20 au 01/01/32;-;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.322435377800977, 48.878100405254244], ""type"": ""Point""}";48.878100405254244, 2.322435377800977;Non
OMP67;;PERGOLA JARDIN JAN DOORNIK;Ombrière pérenne;Non;27 BOULEVARD FLANDRIN;75016;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.272607385389774, 48.86660995416612], ""type"": ""Point""}";48.86660995416612, 2.272607385389774;Non
BD15;18315;Bain-douche Rouvet;Bains-douches;Non;1, rue Rouvet;75019;;du 19/01/24 au 30/09/25;-;-;-;-;-;-;-;"{""coordinates"": [2.385159809858075, 48.89292343201666], ""type"": ""Point""}";48.89292343201666, 2.385159809858075;Non
BI11;3371;Bibliothèque du cinéma François Truffaut;Bibliothèque;Non;4 RUE DU CINEMA;75001;;du 01/09/24 au 31/12/24;-;12h00 - 19h00;12h00 - 19h00;12h00 - 19h00;12h00 - 19h00;12h00 - 19h00;13h00 - 18h00;"{""coordinates"": [2.345579230659902, 48.862504957069284], ""type"": ""Point""}";48.862504957069284, 2.345579230659902;Non
MU54;1525;Musée de la Libération de Paris - Musée du général Leclerc - Musée Jean Moulin;Musée;Non;23 Allée de la 2ème Division Blindée;75014;;du 01/01/20 au 01/01/32;-;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.3202179471228765, 48.84029891663762], ""type"": ""Point""}";48.84029891663762, 2.3202179471228765;Non
OMP05;;PERGOLA JARDIN VISCONTI-ALICE SAUNIER SEITE;Ombrière pérenne;Non;10 RUE VISCONTI;75006;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3359368405331846, 48.855810899425876], ""type"": ""Point""}";48.855810899425876, 2.3359368405331846;Non
OMP14;;PERGOLA SQUARE ALBAN SATRAGNE;Ombrière pérenne;Non;11 SQUARE ALBAN SATRAGNE;75010;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3558285099235556, 48.87567634590402], ""type"": ""Point""}";48.87567634590402, 2.3558285099235556;Non
MU62;13;Musée Bourdelle;Musée;Non;18 Rue Antoine Bourdelle;75015;;du 01/01/20 au 01/01/32;-;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.3186585800323307, 48.84318522682539], ""type"": ""Point""}";48.84318522682539, 2.3186585800323307;Non
OMP25;;PERGOLA JARDIN ILAN HALIMI (ANC. RUE DE FECAMP - MICHEL BIZOT);Ombrière pérenne;Non;54 RUE DE FECAMP;75012;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.4015304600712124, 48.83603395229026], ""type"": ""Point""}";48.83603395229026, 2.4015304600712124;Non
LC31;;Eglise Saint-André de l'Europe;Lieux de culte;Non;24b RUE SAINT-PETERSBOURG;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3259636629203273, 48.88152325021139], ""type"": ""Point""}";48.88152325021139, 2.3259636629203273;Non
LC78;19437;Eglise Saint-Germain de Charonne;Lieux de culte;Non;4 PL SAINT BLAISE;75020;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.4040403814750513, 48.86050266876571], ""type"": ""Point""}";48.86050266876571, 2.4040403814750513;Non
BR48;;Brumisateur Jardin Paule Minck (ex Saint-Fargeau);Brumisateur;Non;50 rue Saint Fargeau;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.4058578695140187, 48.871856567233564], ""type"": ""Point""}";48.871856567233564, 2.4058578695140187;Non
LC89;19510;Eglise de l'immaculée Conception;Lieux de culte;Non;14  RUE MARSOULAN;75012;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.4034900507809303, 48.84594061920701], ""type"": ""Point""}";48.84594061920701, 2.4034900507809303;Non
BE9;3050;Centre Sportif Elisabeth;Baignade extérieure;Non;7 AVENUE Paul Appell;75014;;Du 08 juillet au 20 août 2023;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 18h;"{""coordinates"": [2.3147919024878196, 48.82412502938707], ""type"": ""Point""}";48.82412502938707, 2.3147919024878196;Non
LC112;5040;Eglise Notre-Dame de Bonne Nouvelle;Lieux de culte;Non;19b RUE BEAUREGARD;75002;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3499944352601223, 48.86953907249236], ""type"": ""Point""}";48.86953907249236, 2.3499944352601223;Non
LC39;19459;Eglise Saint-Michel des Batignolles;Lieux de culte;Non;14b RUE SAINT-JEAN;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3246285626587326, 48.889059348556685], ""type"": ""Point""}";48.889059348556685, 2.3246285626587326;Non
BR29;<Nul>;Brumisateur Square des Saint-Simoniens;Brumisateur;Non;149 rue de Ménilmontant;75020;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3968733404144067, 48.870677819644094], ""type"": ""Point""}";48.870677819644094, 2.3968733404144067;Non
OMP48;;PERGOLA PROMENADE JANE ET PAULETTE NARDAL;Ombrière pérenne;Non;98P RUE DIDOT;75014;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3097889862387047, 48.82813539817935], ""type"": ""Point""}";48.82813539817935, 2.3097889862387047;Non
BR17;<Nul>;Brumisateur Square de la Marseillaise;Brumisateur;Non;7 rue de la Marseillaise;75019;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.39758787005317, 48.88721035016141], ""type"": ""Point""}";48.88721035016141, 2.39758787005317;Non
BD17;18321;Bain -douche Pyrénées;Bains-douches;Non;296, rue des Pyrénées;75020;;du 01/01/20 au 01/01/32;07h30 - 13h00;07h30 - 13h00;-;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.392302501682075, 48.87195337730784], ""type"": ""Point""}";48.87195337730784, 2.392302501682075;Non
BI22;19532;Bibliothèque Benoîte Groult;Bibliothèque;Non;25 RUE DU COMMANDANT RENE MOUCHOTTE;75014;;à partir du 07/11/22;-;12h00 - 19h00;12h00 - 19h00;12h00 - 19h00;12h00 - 19h00;10h00 - 18h00;-;"{""coordinates"": [2.3200898933646377, 48.83821809671944], ""type"": ""Point""}";48.83821809671944, 2.3200898933646377;Non
BI12;1722;Bibliothèque François Villon;Bibliothèque;Non;81 BOULEVARD DE LA VILLETTE;75010;;du 01/01/20 au 01/01/32;-;14h00 - 19h00;10h00 - 19h00;14h00 - 19h00;14h00 - 19h00;10h00 - 18h00;-;"{""coordinates"": [2.370743242187107, 48.87719847896502], ""type"": ""Point""}";48.87719847896502, 2.370743242187107;Non
OMP07;;PREAU SQUARE DES MISSIONS ETRANGERES;Ombrière pérenne;Non;105 RUE DU BAC;75007;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3240810627461483, 48.85256925068624], ""type"": ""Point""}";48.85256925068624, 2.3240810627461483;Non
OMP11;;ABRI JARDINS DES CHAMPS ELYSEES;Ombrière pérenne;Non;5X AVENUE DES CHAMPS ELYSEES;75008;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3173571416232472, 48.86744455162404], ""type"": ""Point""}";48.86744455162404, 2.3173571416232472;Non
PI20;2928;Piscine Château des Rentiers;Piscine;Oui;184, rue du Château des Rentiers;75013;;du 09/09/24 au 15/09/24;11h30 - 16h30;07h00 - 13h30;07h00 - 08h30 / 11h30 - 18h00;07h00 - 08h30 / 11h30 - 16h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.3630461877886044, 48.83070607335029], ""type"": ""Point""}";48.83070607335029, 2.3630461877886044;Non
MU32;;Musée En Herbe du Jardin d'acclimatation;Musée;Oui;23 rue de L'Arbre-Sec;75016;;;;;;;;;;"{""coordinates"": [2.268953730184725, 48.877455765538734], ""type"": ""Point""}";48.877455765538734, 2.268953730184725;Non
LC30;;Eglise Lutherienne Suedoise;Lieux de culte;Non;9  RUE MEDERIC;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.303077205432009, 48.880710584315935], ""type"": ""Point""}";48.880710584315935, 2.303077205432009;Non
;2521;Ombrière du Square Ulysse Trélat;Ombrière temporaire;Non;Square Ulysse Trélat;75013;;;;;;;;;;"{""coordinates"": [2.3678011563698322, 48.823095283806246], ""type"": ""Point""}";48.823095283806246, 2.3678011563698322;Non
BR46;;Brumisateur Parc floral Pavillon 12;Brumisateur;Non;Parc Floral;75012;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.443680542649462, 48.838690917369384], ""type"": ""Point""}";48.838690917369384, 2.443680542649462;Non
MA13;(3862);MAIRIE DU 13E;Mairie d'arrondissement;Non;1 PLACE D' ITALIE;75013;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.3552666269722464, 48.8323404835856], ""type"": ""Point""}";48.8323404835856, 2.3552666269722464;Non
MU13;;Musée de la Chasse et de la Nature;Musée;Oui;62 Rue des Archives;75003;;;;;;;;;;"{""coordinates"": [2.3587052454215196, 48.8611820558215], ""type"": ""Point""}";48.8611820558215, 2.3587052454215196;Non
BR27;<Nul>;Brumisateur Square de la Gare de Charonne;Brumisateur;Non;59 boulevard Davout;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.409771204153859, 48.85229881922924], ""type"": ""Point""}";48.85229881922924, 2.409771204153859;Non
BR45;<Nul>;Brumisateur Square de la Place de la Réunion;Brumisateur;Non;64 place de la Réunion;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.4015580115983886, 48.855905905331106], ""type"": ""Point""}";48.855905905331106, 2.4015580115983886;Non
LC44;19474;Eglise Saint-Pierre de Chaillot;Lieux de culte;Non;31  AV MARCEAU;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2985095311637993, 48.86770510316633], ""type"": ""Point""}";48.86770510316633, 2.2985095311637993;Non
LC117;;Chapelle du Corpus Christi;Lieux de culte;Non;23  AV FRIEDLAND;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.30197589234058, 48.87417801416784], ""type"": ""Point""}";48.87417801416784, 2.30197589234058;Non
LC121;19442;Eglise Saint-Augustin;Lieux de culte;Non;14  PL SAINT-AUGUSTIN;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3188755747114347, 48.87624778756893], ""type"": ""Point""}";48.87624778756893, 2.3188755747114347;Non
LC135;19443;Eglise Saint-Jacques Saint-Christophe;Lieux de culte;Non;3  PL JOINVILLE;75019;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3798279591615374, 48.88925713100591], ""type"": ""Point""}";48.88925713100591, 2.3798279591615374;Non
OM11;;Ombrière Jardin Hérold;Ombrière temporaire;Non;17 rue Francis Ponge;75019;;Installation fin juin - Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.394911393656483, 48.88249303930092], ""type"": ""Point""}";48.88249303930092, 2.394911393656483;Non
BR68;2580;Brumisateur Square Georges Sarre;Brumisateur;Non;5 avenue Jean Aicard;75011;;du 01/05/24 au 31/08/24;;;;;;;;"{""coordinates"": [2.3813709429603938, 48.865071303556206], ""type"": ""Point""}";48.865071303556206, 2.3813709429603938;Non
OMP64;;ABRI JARDIN DU RANELAGH;Ombrière pérenne;Non;22 CHAUSSEE DE LA MUETTE;75016;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2701544655123023, 48.85917697049108], ""type"": ""Point""}";48.85917697049108, 2.2701544655123023;Non
;1732;Bibliothèque Aimé Césaire;Bibliothèque;Non;5 rue Ridder;75014;;à partir du 03/01/23;-;13h00 - 19h00;10h00 - 19h00;13h00 - 19h00;13h00 - 19h00;10h00 - 18h00;-;"{""coordinates"": [2.311553980763758, 48.83127829863381], ""type"": ""Point""}";48.83127829863381, 2.311553980763758;Non
BI18;6277;Bibliothèque Benjamin Rabier;Bibliothèque;Non;141 AVENUE DE FLANDRE;75019;;à partir du 03/09/24;-;16h00 - 18h30;10h00 - 13h00 / 14h00 - 18h00;16h00 - 18h30;13h30 - 18h30;10h00 - 13h00 / 14h00 - 18h00;-;"{""coordinates"": [2.379085780616091, 48.892802007643255], ""type"": ""Point""}";48.892802007643255, 2.379085780616091;Non
BI10;16634;Médiathèque Canopée La Fontaine;Bibliothèque;Non;10 PASSAGE DE LA CANOPEE;75001;;à partir du 31/08/24;-;12h00 - 19h00;12h00 - 19h00;12h00 - 19h00;12h00 - 19h00;10h00 - 18h00;13h00 - 18h00;"{""coordinates"": [2.3477621649208342, 48.86228130091356], ""type"": ""Point""}";48.86228130091356, 2.3477621649208342;Non
;8695;Médiathèque Françoise Sagan;Bibliothèque;Non;8 Rue Léon Schwartzenberg;75010;;du 01/09/24 au 31/12/24;-;13h00 - 19h00;10h00 - 19h00;13h00 - 19h00;13h00 - 19h00;10h00 - 18h00;13h00 - 18h00;"{""coordinates"": [2.3537284705230923, 48.875657659389226], ""type"": ""Point""}";48.875657659389226, 2.3537284705230923;Non
BI1;1752;Médiathèque Marguerite Duras;Bibliothèque;Non;115 RUE DE BAGNOLET;75020;;à partir du 19/03/24;-;13h00 - 19h00;10h00 - 19h00;13h00 - 19h00;13h00 - 19h00;10h00 - 18h00;13h00 - 18h00;"{""coordinates"": [2.4028358173398385, 48.86013513958463], ""type"": ""Point""}";48.86013513958463, 2.4028358173398385;Non
OMP15;;KIOSQUE A MUSIQUE JARDIN VILLEMIN;Ombrière pérenne;Non;8 RUE DES RECOLLETS;75010;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3618550155875675, 48.87514842647873], ""type"": ""Point""}";48.87514842647873, 2.3618550155875675;Non
