identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
LC58;19481;Eglise Saint-Etienne du Mont;Lieux de culte;Non;1  RUE SAINT-ETIENNE DU MONT;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.348218910923864, 48.84651942434248], ""type"": ""Point""}";48.84651942434248, 2.348218910923864;Non
OMP44;;KIOSQUE A MUSIQUE JARDINIERE DU BOULEVARD AUGUSTE BLANQUI;Ombrière pérenne;Non;17Z BOULEVARD AUGUSTE BLANQUI;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3535147914890255, 48.830411746307504], ""type"": ""Point""}";48.830411746307504, 2.3535147914890255;Non
LC124;19460;Eglise Saint-Vincent de Paul;Lieux de culte;Non;3b RUE BELZUNCE;75010;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.351917125655656, 48.8789459065897], ""type"": ""Point""}";48.8789459065897, 2.351917125655656;Non
OMP47;;PERGOLA SQUARE DE L'ABBE LEMIRE;Ombrière pérenne;Non;78 RUE VERCINGETORIX;75014;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.314610058880051, 48.83521922897333], ""type"": ""Point""}";48.83521922897333, 2.314610058880051;Non
BE3;;Centre sportif Léo Lagrange;Baignade extérieure;Non;68 Boulevard Poniatowski;75012;;Du 08 juillet au 20 août 2023;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 18h;"{""coordinates"": [2.399704812120393, 48.8318335265549], ""type"": ""Point""}";48.8318335265549, 2.399704812120393;Non
LC138;;Eglise Sainte-Geneviève des Grandes Carrières;Lieux de culte;Non;174  RUE CHAMPIONNET;75018;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.333735848198472, 48.89494855891673], ""type"": ""Point""}";48.89494855891673, 2.333735848198472;Non
OMP51;;KIOSQUE A MUSIQUE SQUARE JEAN CHERIOUX;Ombrière pérenne;Non;260 RUE DE VAUGIRARD;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3006152754701383, 48.84020031871452], ""type"": ""Point""}";48.84020031871452, 2.3006152754701383;Non
OMP54;;PERGOLA SQUARE DU DOCTEUR CALMETTE;Ombrière pérenne;Non;2 RUE JEAN SICARD;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2972653682916295, 48.828691653085166], ""type"": ""Point""}";48.828691653085166, 2.2972653682916295;Non
BE7;;Centre sportif des Poissonniers;Baignade extérieure;Non;2 rue Jean-Cocteau;75018;;Du 08 juillet au 20 août 2023;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 18h;"{""coordinates"": [2.3498521403496153, 48.89972094522985], ""type"": ""Point""}";48.89972094522985, 2.3498521403496153;Non
OMP69;;PERGOLA PARC DE PASSY;Ombrière pérenne;Non;11 AVENUE MARCEL PROUST;75016;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2836747645016713, 48.855950712197306], ""type"": ""Point""}";48.855950712197306, 2.2836747645016713;Non
